Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.copyright|© 2026 ABG Alumni Connect. Private Community. All rights reserved.|© 2026 ABG Alumni Connect. Cộng đồng riêng tư. Bảo lưu mọi quyền.|© 2026 ABG Alumni Connect. Cộng đồng riêng tư. Bảo lưu mọi quyền.
Chân trang (Mọi trang)|Footer với liên kết, bản quyền — hiển thị trên mọi trang|footer.memberAgreement|Member Agreement|Thỏa thuận thành viên|Thỏa thuận thành viên
--- Chuyển đổi ngôn ngữ (Mọi trang) ---|||||
Chuyển đổi ngôn ngữ (Mọi trang)|Nút chuyển ngôn ngữ Anh/Việt|language.en|English|English|English
Chuyển đổi ngôn ngữ (Mọi trang)|Nút chuyển ngôn ngữ Anh/Việt|language.vi|Tiếng Việt|Tiếng Việt|Tiếng Việt
--- Đăng nhập / Xác thực ---|||||
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signIn|Sign In|Đăng nhập|Đăng nhập
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signOut|Sign Out|Đăng xuất|Đăng xuất
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signInWith|Sign in with {provider}|Đăng nhập với {provider}|Đăng nhập với {provider}
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signInRequired|Please sign in to continue|Vui lòng đăng nhập để tiếp tục|Vui lòng đăng nhập để tiếp tục
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signInDescription|Sign in to find your perfect match|Đăng nhập để tìm kiếm kết nối phù hợp|Đăng nhập để tìm kiếm kết nối phù hợp
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.accountSuspended|Your account has been suspended for suspicious activity. Please contact support.|Tài khoản của bạn đã bị tạm ngưng do hoạt động đáng ngờ. Vui lòng liên hệ hỗ trợ.|Tài khoản của bạn đã bị tạm ngưng do hoạt động đáng ngờ. Vui lòng liên hệ hỗ trợ.
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.sessionExpired|Your session has expired. Please sign in again|Phiên đăng nhập đã hết hạn. Vui lòng đăng nhập lại|Phiên đăng nhập đã hết hạn. Vui lòng đăng nhập lại
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.signedIn|Signed in as {email}|Đã đăng nhập với {email}|Đã đăng nhập với {email}
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.magicLinkSent|Magic link sent! Check your email.|Đã gửi magic link! Vui lòng kiểm tra email của bạn.|Đã gửi magic link! Vui lòng kiểm tra email của bạn.
Đăng nhập / Xác thực|Các thông báo đăng nhập, đăng xuất, lỗi phiên|auth.sendMagicLink|Send Magic Link|Gửi Magic Link|Gửi Magic Link
--- Trang chủ (Homepage) ---|||||
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.headline|Unlock Access to ABG's Exclusive Alumni Network|Mở Khóa Mạng Lưới Alumni ABG Độc Quyền|Mở Khóa Mạng Lưới Alumni ABG Độc Quyền
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.subheadline|Join a private member network built to help ABG alumni connect, discover opportunities, and stay engaged with the community.|Tham gia mạng lưới thành viên riêng tư giúp alumni ABG kết nối, khám phá cơ hội và gắn kết với cộng đồng.|Tham gia mạng lưới thành viên riêng tư giúp alumni ABG kết nối, khám phá cơ hội và gắn kết với cộng đồng.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.primaryCta|Unlock Member Access|Mở Khóa Quyền Thành Viên|Mở Khóa Quyền Thành Viên
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.secondaryCta|Learn About ABG Alumni|Tìm Hiểu Về ABG Alumni|Tìm Hiểu Về ABG Alumni
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.bullet1|Access a trusted network of 500+ alumni|Truy cập mạng lưới uy tín với 500+ alumni|Truy cập mạng lưới uy tín với 500+ alumni
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.bullet2|Find members across industries, cities, and generations|Tìm thành viên theo ngành nghề, thành phố và thế hệ|Tìm thành viên theo ngành nghề, thành phố và thế hệ
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.bullet3|Stay connected through community activities and updates|Kết nối qua các hoạt động và cập nhật cộng đồng|Kết nối qua các hoạt động và cập nhật cộng đồng
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.hero.badge|Exclusive Network|Mạng Lưới Độc Quyền|Mạng Lưới Độc Quyền
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatIsAbg.title|What is ABG Alumni?|ABG Alumni là gì?|ABG Alumni là gì?
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatIsAbg.description1|ABG Alumni brings members of the ABG community together through a private network designed for connection, support, and shared opportunities.|ABG Alumni kết nối các thành viên cộng đồng ABG thông qua một mạng lưới riêng tư, nơi hỗ trợ kết nối, chia sẻ và tạo cơ hội chung.|ABG Alumni kết nối các thành viên cộng đồng ABG thông qua một mạng lưới riêng tư, nơi hỗ trợ kết nối, chia sẻ và tạo cơ hội chung.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatIsAbg.description2|The portal gives alumni a trusted place to discover fellow members, stay close to community activity, and unlock the value of the ABG network.|Nền tảng giúp alumni tìm kiếm thành viên, theo dõi hoạt động cộng đồng và khai thác giá trị của mạng lưới ABG.|Nền tảng giúp alumni tìm kiếm thành viên, theo dõi hoạt động cộng đồng và khai thác giá trị của mạng lưới ABG.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatIsAbg.missionLink|Learn more about our mission|Tìm hiểu thêm về sứ mệnh|Tìm hiểu thêm về sứ mệnh
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.title|Why Join the Network|Tại Sao Nên Tham Gia|Tại Sao Nên Tham Gia
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.subtitle|Built for impact, designed for connection.|Xây dựng để tạo ảnh hưởng, thiết kế để kết nối.|Xây dựng để tạo ảnh hưởng, thiết kế để kết nối.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.connect|Connect with Alumni|Kết Nối Với Alumni|Kết Nối Với Alumni
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.connectDesc|Access a curated alumni directory, request introductions, and build relationships inside a trusted private community.|Truy cập danh bạ alumni, yêu cầu giới thiệu và xây dựng mối quan hệ trong cộng đồng uy tín.|Truy cập danh bạ alumni, yêu cầu giới thiệu và xây dựng mối quan hệ trong cộng đồng uy tín.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.discover|Discover Opportunities|Khám Phá Cơ Hội|Khám Phá Cơ Hội
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.discoverDesc|Use the network to reconnect, explore career opportunities, and find partnerships across the ABG community.|Tìm lại bạn cũ, khám phá cơ hội nghề nghiệp và đối tác kinh doanh trong cộng đồng ABG.|Tìm lại bạn cũ, khám phá cơ hội nghề nghiệp và đối tác kinh doanh trong cộng đồng ABG.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.stayEngaged|Stay Engaged|Luôn Kết Nối|Luôn Kết Nối
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whyJoin.stayEngagedDesc|Keep up with news, activities, and community momentum through regular updates and events.|Theo dõi tin tức, hoạt động và sự kiện cộng đồng qua các cập nhật thường xuyên.|Theo dõi tin tức, hoạt động và sự kiện cộng đồng qua các cập nhật thường xuyên.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.title|What You Can Do on the Portal|Bạn Có Thể Làm Gì Trên Nền Tảng|Bạn Có Thể Làm Gì Trên Nền Tảng
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.searchTitle|Search the Alumni Network|Tìm Kiếm Mạng Lưới Alumni|Tìm Kiếm Mạng Lưới Alumni
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.searchDesc|Discover alumni across classes, industries, cities, and countries.|Khám phá alumni theo khóa, ngành nghề, thành phố và quốc gia.|Khám phá alumni theo khóa, ngành nghề, thành phố và quốc gia.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.introTitle|Request Introductions|Yêu Cầu Giới Thiệu|Yêu Cầu Giới Thiệu
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.introDesc|The portal helps you reach out and connect with other alumni directly.|Nền tảng giúp bạn kết nối trực tiếp với các alumni khác.|Nền tảng giúp bạn kết nối trực tiếp với các alumni khác.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.updatesTitle|Follow Community Updates|Theo Dõi Cập Nhật|Theo Dõi Cập Nhật
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.updatesDesc|Keep up with news, activities, and community momentum.|Cập nhật tin tức, hoạt động và xu hướng cộng đồng.|Cập nhật tin tức, hoạt động và xu hướng cộng đồng.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.premiumTitle|Unlock Premium Access|Mở Khóa Premium|Mở Khóa Premium
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.premiumDesc|The premium layer unlocks the full value of the network with advanced features.|Gói Premium mở khóa toàn bộ giá trị mạng lưới với tính năng nâng cao.|Gói Premium mở khóa toàn bộ giá trị mạng lưới với tính năng nâng cao.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.searchLabel|Search Directory|Danh Bạ|Danh Bạ
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.introLabel|Intros|Giới Thiệu|Giới Thiệu
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.updatesLabel|Stay Informed|Cập Nhật|Cập Nhật
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.premiumLabel|Upgrade|Nâng Cấp|Nâng Cấp
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.description1|Use the portal to explore the alumni directory, discover members across industries and locations, and request meaningful connections inside the ABG network.|Sử dụng nền tảng để khám phá danh bạ alumni, tìm thành viên theo ngành nghề và vị trí, và yêu cầu kết nối có ý nghĩa trong mạng lưới ABG.|Sử dụng nền tảng để khám phá danh bạ alumni, tìm thành viên theo ngành nghề và vị trí, và yêu cầu kết nối có ý nghĩa trong mạng lưới ABG.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.whatYouCanDo.description2|Stay updated on alumni activities and unlock full member access for deeper discovery and premium features.|Cập nhật hoạt động alumni và mở khóa quyền truy cập đầy đủ cho tính năng khám phá và premium.|Cập nhật hoạt động alumni và mở khóa quyền truy cập đầy đủ cho tính năng khám phá và premium.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.title|How It Works|Cách Thức Hoạt Động|Cách Thức Hoạt Động
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.subtitle|Get started in 3 simple steps|Bắt đầu chỉ với 3 bước đơn giản|Bắt đầu chỉ với 3 bước đơn giản
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step1Title|Sign Up|Đăng Ký|Đăng Ký
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step1Desc|Sign up with your current email address.|Đăng ký với email hiện tại của bạn.|Đăng ký với email hiện tại của bạn.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step2Title|Claim Your Profile|Xác Nhận Hồ Sơ|Xác Nhận Hồ Sơ
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step2Desc|Claim your alumni profile or request review.|Xác nhận hồ sơ alumni hoặc yêu cầu xét duyệt.|Xác nhận hồ sơ alumni hoặc yêu cầu xét duyệt.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step3Title|Get Approved|Được Duyệt|Được Duyệt
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.howItWorks.step3Desc|Get approved and unlock the member network.|Được duyệt và mở khóa mạng lưới thành viên.|Được duyệt và mở khóa mạng lưới thành viên.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.stats.title|Our Community|Cộng Đồng Của Chúng Tôi|Cộng Đồng Của Chúng Tôi
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.stats.alumni|Alumni Profiles|Hồ Sơ Alumni|Hồ Sơ Alumni
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.stats.countries|Countries Represented|Quốc Gia|Quốc Gia
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.stats.industries|Areas of Expertise|Lĩnh Vực Chuyên Môn|Lĩnh Vực Chuyên Môn
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.stats.trusted|Trusted Network|Mạng Lưới Uy Tín|Mạng Lưới Uy Tín
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.newsPreview.title|Latest Community Pulse|Tin Tức Cộng Đồng|Tin Tức Cộng Đồng
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.newsPreview.subtitle|News and updates from across the network.|Tin tức và cập nhật từ khắp mạng lưới.|Tin tức và cập nhật từ khắp mạng lưới.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.newsPreview.viewAll|View All Updates|Xem Tất Cả|Xem Tất Cả
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.newsPreview.readMore|Read full story|Đọc toàn bộ|Đọc toàn bộ
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.finalCta.headline|Ready to unlock the ABG alumni network?|Sẵn sàng mở khóa mạng lưới alumni ABG?|Sẵn sàng mở khóa mạng lưới alumni ABG?
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.finalCta.subtext|Join the private ABG community and start building meaningful connections.|Tham gia cộng đồng ABG và bắt đầu xây dựng những kết nối ý nghĩa.|Tham gia cộng đồng ABG và bắt đầu xây dựng những kết nối ý nghĩa.
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.finalCta.cta|Unlock Member Access|Mở Khóa Quyền Thành Viên|Mở Khóa Quyền Thành Viên
Trang chủ (Homepage)|Trang chủ chính với hero, giới thiệu, tính năng, CTA|homepage.finalCta.secondaryCta|Contact Support|Liên Hệ Hỗ Trợ|Liên Hệ Hỗ Trợ
--- Trang giới thiệu (Landing) ---|||||
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.title|Connect with ABG Alumni|Kết nối với anh chị em ABG|Kết nối với anh chị em ABG
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.subtitle|Find the right connections in our community. Get matched with members who can help with your specific needs.|Tìm đúng người, đúng việc trong ổ nhóm mình. Ghép đôi với những người anh em có thể gỡ rối cho bạn.|Tìm đúng người, đúng việc trong ổ nhóm mình. Ghép đôi với những người anh em có thể gỡ rối cho bạn.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.joinCard.title|Join the Network|Nhập hội ngay|Nhập hội ngay
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.joinCard.description|Create your profile and let others know how you can help.|Lên cái hồ sơ để mọi người biết bạn có võ gì.|Lên cái hồ sơ để mọi người biết bạn có võ gì.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.findCard.title|Find a Connection|Tìm người giúp|Tìm người giúp
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.findCard.description|Describe what you need and get matched with the right people.|Cần gì cứ nói, để hệ thống tìm người hợp cạ cho bạn.|Cần gì cứ nói, để hệ thống tìm người hợp cạ cho bạn.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.title|What is ABG Alumni Connect?|ABG Alumni Connect là gì?|ABG Alumni Connect là gì?
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.description|A private networking platform exclusively for ABG Alumni members to connect, collaborate, and support each other through AI-powered matching.|Nền tảng kết nối riêng tư dành riêng cho anh chị em ABG Alumni để giao lưu, hợp tác và hỗ trợ nhau qua hệ thống ghép đôi AI.|Nền tảng kết nối riêng tư dành riêng cho anh chị em ABG Alumni để giao lưu, hợp tác và hỗ trợ nhau qua hệ thống ghép đôi AI.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit1Title|Exclusive Network|Mạng lưới độc quyền|Mạng lưới độc quyền
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit1Desc|Access a curated community of ~600 ABG alumni across industries and expertise areas.|Tiếp cận cộng đồng chọn lọc ~600 alumni ABG từ nhiều ngành nghề và chuyên môn.|Tiếp cận cộng đồng chọn lọc ~600 alumni ABG từ nhiều ngành nghề và chuyên môn.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit2Title|AI-Powered Matching|Ghép đôi bằng AI|Ghép đôi bằng AI
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit2Desc|Our AI analyzes your needs and matches you with the most relevant alumni who can help.|AI phân tích nhu cầu của bạn và tìm những người phù hợp nhất có thể giúp được.|AI phân tích nhu cầu của bạn và tìm những người phù hợp nhất có thể giúp được.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit3Title|Trusted Connections|Kết nối uy tín|Kết nối uy tín
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.about.benefit3Desc|All members are verified ABG alumni, ensuring quality and authentic connections.|Toàn bộ thành viên đều là ABG alumni đã xác minh, đảm bảo chất lượng và kết nối chân thực.|Toàn bộ thành viên đều là ABG alumni đã xác minh, đảm bảo chất lượng và kết nối chân thực.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.title|How It Works|Cách thức hoạt động|Cách thức hoạt động
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.subtitle|Get connected in 3 simple steps|Kết nối chỉ trong 3 bước đơn giản|Kết nối chỉ trong 3 bước đơn giản
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step1Title|Create Your Profile|Tạo hồ sơ|Tạo hồ sơ
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step1Desc|Sign up with Google, fill in your expertise, and let others know how you can help.|Đăng ký bằng Google, điền chuyên môn và cho anh em biết bạn có thể giúp gì.|Đăng ký bằng Google, điền chuyên môn và cho anh em biết bạn có thể giúp gì.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step2Title|Describe Your Need|Mô tả nhu cầu|Mô tả nhu cầu
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step2Desc|Tell us what you're looking for - whether it's advice, introductions, or collaboration.|Cho biết bạn cần gì - tư vấn, giới thiệu, hay hợp tác đều được.|Cho biết bạn cần gì - tư vấn, giới thiệu, hay hợp tác đều được.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step3Title|Get Matched & Connected|Được ghép và kết nối|Được ghép và kết nối
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.howItWorks.step3Desc|Our AI finds the best matches and facilitates email introductions between you and your matches.|AI tìm người phù hợp nhất và gửi email giới thiệu cho cả hai bên.|AI tìm người phù hợp nhất và gửi email giới thiệu cho cả hai bên.
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.checkButton|Check & Continue|Kiểm tra & Tiếp tục|Kiểm tra & Tiếp tục
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.googleButton|Continue with Google|Đăng nhập với Google|Đăng nhập với Google
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.switchToSignup|Not a member? Join Community|Chưa có tài khoản? Đăng ký|Chưa có tài khoản? Đăng ký
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.switchToSignin|Already a member? Sign In|Đã là thành viên? Đăng nhập|Đã là thành viên? Đăng nhập
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.tryDifferentEmail|Try a different email|Thử email khác|Thử email khác
Trang giới thiệu (Landing)|Trang giới thiệu cũ với form đăng nhập, tìm kiếm công khai|landing.emailCheck.magicLinkError|Could not send magic link.|Không thể gửi magic link.|Không thể gửi magic link.
